Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,customer_key,travel_key,flight_key,date_key,airline_Key
3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0.0,satisfied,40,2,1256,505,2
1,1,1,1,3,5,5,3,3,3,3,4,3,5,1,15.0,satisfied,41,2,328,131,4
1,1,1,1,5,5,5,5,4,2,5,5,4,5,4,0.0,satisfied,42,2,1467,485,2
2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0.0,neutral or dissatisfied,43,6,2100,647,3
1,1,1,1,1,1,1,1,3,5,3,1,4,1,0,0.0,neutral or dissatisfied,44,2,1967,21,6
3,3,3,3,5,2,3,5,5,5,5,4,5,3,8,0.0,satisfied,45,2,376,167,2
2,2,2,3,5,2,5,5,2,3,3,1,3,5,0,0.0,neutral or dissatisfied,46,3,263,274,2
2,1,1,1,2,2,2,2,3,3,2,3,3,2,14,8.0,neutral or dissatisfied,47,4,267,388,1
3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,1.0,satisfied,48,2,2407,601,5
5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0.0,satisfied,49,4,3389,316,4
2,3,2,4,4,2,4,4,4,4,3,4,1,4,1,0.0,neutral or dissatisfied,50,3,3396,14,6
2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10.0,neutral or dissatisfied,51,3,1945,242,2
2,4,2,2,4,5,5,4,4,4,4,3,4,5,51,48.0,satisfied,16,2,3738,346,1
0,0,0,1,3,4,5,5,5,5,5,4,5,5,0,5.0,satisfied,52,2,1894,565,5
5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0.0,satisfied,35,2,1902,340,1
3,3,3,3,4,3,4,4,1,1,4,2,3,4,39,26.0,neutral or dissatisfied,53,2,2700,92,2
2,4,2,1,4,2,4,4,4,2,4,5,5,4,4,0.0,neutral or dissatisfied,54,4,3635,367,4
2,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0.0,neutral or dissatisfied,55,2,1653,455,5
2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0.0,satisfied,7,2,1445,428,2
2,1,2,2,4,2,3,4,4,4,3,2,2,4,13,1.0,neutral or dissatisfied,2,4,46,509,3
3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0.0,satisfied,56,2,600,35,6
5,5,5,5,2,4,4,4,4,4,4,3,4,4,30,15.0,satisfied,57,2,720,206,6
3,3,3,3,4,5,4,4,5,4,4,4,4,4,4,0.0,satisfied,58,2,1913,81,2
2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0.0,neutral or dissatisfied,17,3,1293,562,1
2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0.0,satisfied,59,2,601,388,2
2,1,1,1,2,2,2,2,3,2,2,2,3,2,18,12.0,neutral or dissatisfied,60,4,381,2,3
4,4,4,4,4,4,4,4,3,3,1,1,4,4,0,0.0,satisfied,40,5,118,390,6
4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0.0,satisfied,61,2,3638,566,3
3,2,2,2,3,3,3,3,2,5,1,1,2,3,64,49.0,neutral or dissatisfied,62,5,2164,106,2
2,2,2,4,5,2,5,5,5,4,4,5,5,5,0,2.0,neutral or dissatisfied,55,2,3702,477,3
1,4,1,2,2,1,2,2,4,4,5,5,5,2,0,37.0,neutral or dissatisfied,63,1,260,703,1
3,5,3,2,1,3,1,1,4,4,5,3,4,1,0,0.0,neutral or dissatisfied,64,3,1099,402,3
5,1,5,4,1,5,1,1,4,2,5,4,5,1,1,1.0,satisfied,39,2,1504,730,6
2,4,4,4,1,4,3,2,2,2,2,1,2,4,0,6.0,neutral or dissatisfied,65,2,2353,556,3
4,5,4,2,2,4,2,2,4,5,3,4,4,2,20,5.0,satisfied,66,3,2055,162,4
4,0,4,4,4,4,4,4,5,2,1,4,4,4,0,0.0,neutral or dissatisfied,67,4,366,202,1
2,1,1,2,3,2,4,3,3,5,3,4,5,3,0,0.0,neutral or dissatisfied,68,2,1658,270,6
1,1,1,1,4,4,4,4,4,2,5,4,4,4,45,48.0,satisfied,69,2,2571,271,3
4,4,4,3,3,4,3,3,2,3,2,3,3,3,0,0.0,neutral or dissatisfied,39,4,3420,456,6
3,3,3,4,5,3,5,5,3,2,4,2,4,5,0,8.0,neutral or dissatisfied,70,2,1462,462,2
4,0,4,4,1,4,1,1,3,4,4,4,5,1,0,0.0,satisfied,71,2,2025,727,3
2,2,2,2,3,5,5,4,4,4,4,5,4,4,44,50.0,satisfied,6,2,3287,252,5
4,4,4,4,4,4,4,4,1,2,2,4,2,4,17,3.0,satisfied,72,5,2477,702,5
3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0.0,neutral or dissatisfied,52,1,791,296,6
3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0.0,neutral or dissatisfied,73,3,3570,725,1
3,3,3,3,1,1,3,4,4,4,4,3,4,1,0,0.0,satisfied,64,2,3612,720,5
2,2,2,3,3,2,3,3,3,1,3,1,4,3,0,0.0,neutral or dissatisfied,14,4,747,338,5
0,5,0,3,4,0,3,4,4,5,5,4,5,4,0,0.0,satisfied,74,3,2415,53,3
5,5,5,3,2,5,2,2,3,4,4,4,4,2,31,19.0,satisfied,68,2,313,217,1
4,1,1,1,4,4,4,4,2,2,3,4,2,4,81,72.0,neutral or dissatisfied,62,2,538,188,4
5,4,4,4,4,3,1,5,5,5,5,1,5,1,0,0.0,satisfied,75,5,921,380,3
2,5,5,5,5,2,4,3,3,2,3,3,3,4,0,11.0,satisfied,76,4,1078,493,4
4,1,1,1,4,4,4,4,4,3,1,5,2,4,35,34.0,satisfied,77,4,3613,41,2
4,5,4,5,5,4,5,5,2,2,3,3,1,5,14,18.0,neutral or dissatisfied,78,3,1491,157,6
3,1,3,2,3,3,3,3,2,1,3,1,3,3,0,0.0,neutral or dissatisfied,79,6,2913,15,5
1,5,1,3,5,1,5,5,5,1,1,3,4,5,67,62.0,neutral or dissatisfied,80,1,3236,65,3
3,3,3,3,3,3,4,3,5,2,4,3,4,3,22,27.0,satisfied,81,2,2830,521,1
2,5,2,1,3,2,4,3,5,4,5,4,4,3,40,52.0,neutral or dissatisfied,82,3,2382,344,5
5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0.0,satisfied,79,2,3619,129,2
2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0.0,neutral or dissatisfied,83,3,798,648,6
3,3,3,3,3,3,3,3,4,1,3,3,3,3,0,0.0,neutral or dissatisfied,84,5,348,472,5
5,0,5,4,5,5,5,5,3,4,4,3,1,5,0,0.0,satisfied,85,2,273,63,5
3,4,3,3,4,3,4,4,1,1,4,2,1,4,3,0.0,neutral or dissatisfied,80,3,3011,139,4
1,1,1,3,1,1,1,1,4,3,4,2,1,1,0,0.0,neutral or dissatisfied,86,4,720,499,2
4,3,4,3,5,4,5,5,2,5,2,1,4,5,0,23.0,neutral or dissatisfied,87,3,1774,593,1
2,0,2,4,1,2,1,1,3,2,5,1,3,1,0,0.0,neutral or dissatisfied,88,4,3486,392,5
3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0.0,neutral or dissatisfied,3,3,2548,675,5
5,5,5,5,5,5,5,4,4,5,4,4,4,3,0,3.0,satisfied,12,2,3165,419,6
4,2,2,2,1,3,4,4,4,4,4,4,4,1,30,13.0,neutral or dissatisfied,89,2,685,289,1
1,5,4,5,1,1,1,1,1,1,2,4,3,1,0,0.0,neutral or dissatisfied,90,2,2127,379,1
2,3,2,3,5,2,5,5,5,2,3,2,4,5,91,82.0,neutral or dissatisfied,91,3,622,490,3
2,2,2,2,1,5,1,4,4,4,4,5,4,4,0,0.0,satisfied,30,2,2040,231,3
2,4,2,1,1,2,1,1,3,3,4,4,4,1,1,10.0,neutral or dissatisfied,92,3,3289,41,5
2,5,2,3,3,2,3,3,1,1,2,2,2,3,0,0.0,neutral or dissatisfied,65,3,947,28,3
1,1,1,1,5,5,4,2,2,2,2,5,2,5,0,0.0,satisfied,64,2,2406,135,5
4,4,4,3,3,4,5,3,5,4,4,4,4,3,21,23.0,neutral or dissatisfied,10,4,2666,201,1
4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,0.0,neutral or dissatisfied,93,2,507,33,3
3,0,3,3,1,3,1,1,3,5,2,3,3,1,0,9.0,neutral or dissatisfied,94,4,1583,48,6
4,1,1,1,4,4,4,4,1,3,2,3,2,4,3,0.0,neutral or dissatisfied,47,4,3253,503,2
1,5,1,3,3,1,3,3,4,2,4,5,5,3,0,0.0,neutral or dissatisfied,95,3,2624,407,2
5,5,5,5,2,5,5,4,4,4,4,3,4,5,4,9.0,satisfied,64,2,3318,574,1
4,5,4,3,4,1,1,5,3,5,4,1,4,1,7,30.0,neutral or dissatisfied,96,3,244,728,5
3,3,3,3,4,4,1,4,4,4,4,5,4,3,0,0.0,satisfied,87,2,506,99,2
2,2,2,2,4,5,5,4,4,4,4,3,4,5,17,8.0,satisfied,97,2,422,684,3
1,4,4,4,2,3,4,2,2,1,2,2,2,4,14,16.0,neutral or dissatisfied,21,5,3392,726,4
3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0.0,neutral or dissatisfied,27,3,3159,547,5
4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0.0,satisfied,98,4,2265,613,3
4,4,4,3,2,4,2,2,4,5,4,4,5,2,4,11.0,satisfied,94,2,3562,462,5
4,0,4,3,3,4,1,3,3,2,5,4,5,3,15,3.0,neutral or dissatisfied,43,3,3591,643,6
3,1,1,1,3,2,3,3,3,3,3,1,3,3,0,0.0,neutral or dissatisfied,99,2,3350,5,6
3,2,4,2,3,3,3,3,2,2,2,3,4,3,0,0.0,neutral or dissatisfied,72,2,1873,218,3
2,0,2,2,2,3,5,1,1,2,1,2,1,5,0,0.0,neutral or dissatisfied,100,3,3794,503,1
2,2,2,2,5,5,5,5,5,2,5,3,5,5,0,0.0,satisfied,48,2,3057,398,1
3,1,3,3,2,4,5,5,5,5,5,3,5,5,0,0.0,satisfied,36,2,1193,393,1
3,3,3,3,3,3,3,3,4,2,2,2,2,3,0,0.0,neutral or dissatisfied,101,2,330,207,1
1,1,1,1,1,3,3,1,1,1,1,1,1,1,0,0.0,neutral or dissatisfied,102,2,650,15,3
2,2,2,2,4,4,4,4,4,1,1,3,5,4,0,0.0,satisfied,90,2,1465,554,2
4,4,4,3,4,1,1,3,3,3,4,1,3,1,29,10.0,satisfied,21,3,391,461,3
4,5,4,5,1,4,1,1,3,4,4,5,4,1,0,0.0,neutral or dissatisfied,103,3,1520,691,3
3,1,1,1,5,3,2,3,3,3,3,3,3,4,0,0.0,neutral or dissatisfied,104,2,381,575,4
3,5,5,1,2,3,5,1,1,5,1,3,1,3,0,0.0,neutral or dissatisfied,21,6,3378,241,4
3,3,3,3,5,3,5,5,2,1,3,1,3,5,39,6.0,neutral or dissatisfied,105,4,742,564,6
3,4,3,3,5,3,5,5,2,4,3,4,4,5,7,6.0,neutral or dissatisfied,106,3,2011,96,3
1,1,1,1,3,5,5,5,5,5,5,5,5,3,1,7.0,satisfied,59,2,820,485,1
2,2,2,2,2,4,4,3,3,4,3,3,3,4,0,7.0,satisfied,107,2,673,407,4
0,4,0,4,4,5,5,4,4,1,1,4,4,3,0,0.0,satisfied,108,2,2561,231,4
4,5,5,2,2,4,4,3,3,5,3,3,3,4,0,0.0,neutral or dissatisfied,109,6,1772,655,3
5,5,5,5,4,4,5,2,2,2,2,5,2,3,0,10.0,satisfied,110,2,2997,171,5
1,3,3,3,3,3,4,1,1,1,1,1,1,4,13,15.0,neutral or dissatisfied,36,2,1212,541,4
1,1,1,1,5,1,5,5,4,4,4,4,4,5,0,0.0,neutral or dissatisfied,111,2,930,36,1
2,4,4,4,2,2,2,2,2,4,2,1,1,2,0,0.0,neutral or dissatisfied,26,4,1540,525,6
4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0.0,satisfied,41,2,913,160,3
4,2,4,4,1,4,1,1,3,4,4,4,4,1,17,27.0,neutral or dissatisfied,28,3,644,699,5
1,4,1,4,4,1,4,4,5,2,5,4,4,4,105,122.0,neutral or dissatisfied,1,3,427,243,2
3,4,4,4,5,4,5,5,4,4,4,2,4,5,0,0.0,neutral or dissatisfied,105,4,502,86,1
2,2,2,2,4,5,1,3,3,4,3,5,3,1,0,0.0,satisfied,51,2,730,578,1
2,3,2,3,5,3,4,3,3,2,3,3,3,2,0,3.0,neutral or dissatisfied,110,3,1284,682,3
2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0.0,satisfied,52,2,3585,557,2
2,2,4,2,2,5,4,3,3,4,3,4,3,3,27,11.0,satisfied,110,2,2119,574,1
0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0.0,satisfied,9,4,2526,646,1
3,5,2,4,3,5,4,4,4,2,4,4,4,3,19,0.0,neutral or dissatisfied,75,3,3250,28,3
2,5,2,2,2,4,5,5,5,5,5,3,5,4,0,0.0,satisfied,64,2,457,620,1
5,5,5,5,5,5,5,5,1,4,5,1,3,5,12,27.0,satisfied,3,5,2237,556,6
2,2,2,3,5,2,5,5,4,3,3,2,4,5,51,30.0,neutral or dissatisfied,94,4,291,340,5
2,1,2,3,3,2,5,3,1,4,2,2,2,3,0,2.0,neutral or dissatisfied,112,3,3592,331,2
5,1,1,1,5,5,5,1,1,1,4,5,4,5,162,179.0,satisfied,113,4,920,640,4
5,1,4,1,5,5,4,5,5,1,2,5,3,5,15,15.0,satisfied,19,4,2340,506,4
3,3,3,3,4,4,5,4,4,4,4,4,4,3,7,0.0,satisfied,78,2,1970,348,2
0,1,1,1,3,4,5,4,4,4,4,4,4,5,0,0.0,satisfied,25,2,756,473,6
3,4,4,3,4,4,4,4,4,4,4,3,4,3,0,1.0,neutral or dissatisfied,56,3,1659,231,5
5,5,5,5,2,4,5,4,4,4,4,5,4,5,24,20.0,satisfied,65,2,1835,190,3
4,4,4,4,3,3,3,3,3,2,4,5,4,3,0,0.0,satisfied,4,2,1307,225,3
3,5,5,5,3,3,3,3,2,4,3,2,3,3,0,0.0,neutral or dissatisfied,82,2,1568,385,4
1,1,1,1,2,4,5,4,4,4,4,5,4,4,0,0.0,satisfied,114,2,1870,377,1
4,3,4,3,3,4,3,3,4,5,4,4,3,3,0,7.0,neutral or dissatisfied,115,2,377,283,2
3,3,5,3,4,4,4,5,4,5,4,4,3,4,141,125.0,satisfied,116,2,3730,633,5
4,1,1,1,2,4,4,4,4,3,4,2,4,4,0,0.0,neutral or dissatisfied,7,2,1180,628,3
5,3,3,3,2,1,1,5,5,5,5,3,5,4,0,0.0,satisfied,36,4,508,259,2
1,5,1,2,4,3,4,1,1,1,1,4,1,3,1,26.0,neutral or dissatisfied,49,3,1437,359,1
2,3,3,3,5,3,3,4,4,3,1,3,4,4,0,0.0,neutral or dissatisfied,36,3,2576,710,4
1,1,1,1,3,5,4,4,4,4,4,5,4,2,0,0.0,satisfied,8,2,3427,456,1
4,4,4,3,1,4,1,1,4,2,4,5,5,1,0,9.0,neutral or dissatisfied,33,3,559,411,5
1,4,1,3,3,3,1,5,5,1,5,1,5,2,0,0.0,neutral or dissatisfied,104,3,3259,649,6
2,2,2,2,4,4,4,4,4,4,4,3,4,4,6,0.0,satisfied,15,2,3103,318,6
3,4,4,4,3,3,3,3,2,5,4,4,4,3,15,26.0,neutral or dissatisfied,33,4,2308,677,4
2,3,2,2,1,2,1,1,1,3,5,3,2,1,0,0.0,neutral or dissatisfied,103,6,421,225,1
4,5,3,4,1,3,1,1,5,3,4,5,4,1,3,0.0,satisfied,117,3,1553,234,6
1,5,1,1,2,1,2,2,3,5,5,3,4,2,34,19.0,neutral or dissatisfied,99,3,3623,684,5
2,4,2,3,2,2,2,2,3,4,2,2,1,2,0,0.0,neutral or dissatisfied,103,3,304,664,6
1,5,5,5,1,1,1,1,2,5,3,4,4,1,0,0.0,neutral or dissatisfied,72,4,942,374,5
3,2,3,3,2,3,2,2,3,3,3,4,3,2,6,4.0,neutral or dissatisfied,118,3,3111,672,5
4,0,5,3,2,5,2,2,4,2,4,3,5,2,0,0.0,satisfied,40,3,3561,608,2
2,5,0,1,2,0,5,2,5,5,4,4,4,2,0,0.0,neutral or dissatisfied,64,3,3716,472,5
3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0.0,satisfied,107,2,2590,233,3
1,5,2,2,3,5,5,3,3,2,3,3,3,3,0,17.0,neutral or dissatisfied,7,3,3742,692,5
3,4,4,4,5,3,4,2,2,2,3,4,2,2,0,0.0,neutral or dissatisfied,52,2,1302,113,1
2,3,2,3,1,2,1,1,4,5,2,5,5,1,0,18.0,neutral or dissatisfied,44,6,3275,497,3
5,5,5,5,5,5,5,5,5,5,5,3,5,4,17,0.0,satisfied,16,2,1090,442,4
5,5,5,5,5,4,4,5,5,5,5,5,5,3,0,0.0,satisfied,20,2,2156,564,6
2,4,2,4,2,2,2,2,3,2,3,2,3,2,20,17.0,neutral or dissatisfied,12,4,2316,268,6
4,4,1,4,5,5,5,5,1,3,1,3,3,5,0,3.0,satisfied,119,2,2270,510,3
2,5,2,2,2,2,2,2,5,2,4,3,5,2,2,0.0,neutral or dissatisfied,82,3,1828,386,1
2,2,2,2,2,1,1,2,3,5,4,3,4,2,0,8.0,neutral or dissatisfied,119,4,1554,387,6
2,5,2,4,4,2,4,4,4,5,5,4,5,4,0,0.0,neutral or dissatisfied,64,3,3162,113,6
2,2,2,2,2,1,2,5,5,5,5,2,5,3,1,0.0,satisfied,93,2,693,613,4
2,5,2,2,3,4,5,1,1,2,1,4,1,3,23,2.0,neutral or dissatisfied,25,3,255,625,1
4,3,3,3,3,3,4,3,3,3,4,4,3,3,7,2.0,neutral or dissatisfied,33,2,1479,81,1
5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,0.0,satisfied,120,2,2301,699,2
4,2,4,3,4,3,3,1,1,4,2,3,1,1,0,0.0,neutral or dissatisfied,56,3,257,113,2
2,4,3,4,5,3,3,2,2,3,2,4,2,4,0,0.0,neutral or dissatisfied,121,2,2431,2,1
5,3,3,3,5,5,5,5,5,2,4,1,1,5,31,31.10178699,satisfied,40,4,442,642,5
2,1,1,4,3,1,3,3,1,1,4,2,3,3,97,89.0,neutral or dissatisfied,119,3,1882,220,2
2,2,2,2,1,1,5,4,4,4,4,4,4,1,0,0.0,satisfied,40,2,2647,566,6
1,4,1,2,2,1,1,2,4,3,5,4,5,2,16,34.0,neutral or dissatisfied,15,3,1114,225,1
1,4,1,4,1,1,1,1,3,3,3,4,3,1,0,0.0,neutral or dissatisfied,42,3,3821,385,3
5,1,2,1,4,5,4,4,5,5,2,4,3,4,0,0.0,satisfied,6,5,2438,403,1
2,3,2,5,4,2,4,4,4,3,4,3,1,4,20,4.0,neutral or dissatisfied,60,1,582,638,1
2,5,2,3,3,2,3,3,4,4,4,3,5,3,0,0.0,neutral or dissatisfied,122,3,3116,130,4
2,0,2,3,5,2,1,5,3,4,3,3,1,5,4,0.0,neutral or dissatisfied,123,3,1736,53,2
2,2,2,2,5,4,5,4,4,4,4,3,4,4,0,0.0,satisfied,8,2,3736,684,4
2,4,2,3,1,2,1,1,4,4,5,4,4,1,0,0.0,neutral or dissatisfied,11,3,2646,730,5
2,3,2,3,2,3,2,4,5,3,3,2,3,2,0,0.0,neutral or dissatisfied,26,3,19,672,1
3,4,3,3,4,5,5,4,4,4,4,5,4,3,10,0.0,satisfied,113,2,1125,710,2
2,2,2,4,2,3,4,5,5,2,5,3,5,2,0,0.0,neutral or dissatisfied,108,3,2655,416,2
3,3,3,3,2,4,3,2,2,2,3,1,2,2,0,0.0,neutral or dissatisfied,20,2,1381,247,6
2,2,2,2,3,2,3,3,3,5,5,4,4,3,11,6.0,neutral or dissatisfied,124,2,1566,439,2
1,1,1,1,3,1,3,3,1,5,1,3,2,3,0,0.0,neutral or dissatisfied,125,4,2081,203,1
1,1,3,1,3,5,4,5,5,5,5,4,5,4,0,0.0,satisfied,64,2,1994,184,1
5,5,5,5,5,5,5,5,2,3,1,1,2,5,9,5.0,satisfied,126,2,3301,123,6
4,4,4,4,1,4,5,4,4,4,4,1,4,2,0,0.0,satisfied,74,2,1548,401,3
2,4,2,4,1,3,2,2,2,2,2,4,2,3,0,9.0,neutral or dissatisfied,50,2,3702,294,4
3,3,3,5,4,3,4,4,5,4,4,5,5,4,29,28.0,neutral or dissatisfied,53,2,862,280,4
4,5,4,4,4,2,3,4,4,4,4,2,4,1,0,0.0,satisfied,127,2,155,610,1
2,4,3,4,2,4,4,3,3,3,3,4,3,3,99,101.0,neutral or dissatisfied,128,3,3495,198,5
3,5,3,2,1,3,1,1,4,2,4,5,5,1,9,11.0,neutral or dissatisfied,62,1,905,511,6
2,4,5,1,2,4,5,3,3,5,3,1,3,1,0,0.0,neutral or dissatisfied,75,3,1270,144,2
5,0,5,2,4,5,4,4,3,5,5,3,2,4,18,4.0,satisfied,54,4,405,609,1
3,4,4,4,3,3,3,3,2,2,3,3,3,3,0,0.0,neutral or dissatisfied,118,4,844,201,1
5,5,5,5,5,5,3,5,2,5,4,3,3,5,9,0.0,satisfied,119,2,1783,124,1
4,4,4,4,4,4,4,4,4,2,4,3,3,4,0,3.0,neutral or dissatisfied,90,2,1565,187,2
3,3,3,4,1,3,1,1,2,2,3,1,5,1,24,14.0,neutral or dissatisfied,102,3,1185,326,2
1,4,1,1,5,5,4,4,4,1,4,5,4,3,37,20.0,neutral or dissatisfied,129,6,747,464,6
1,1,1,1,3,5,5,5,5,5,5,4,5,5,0,0.0,satisfied,56,2,1726,349,1
4,4,4,4,2,4,5,4,4,4,4,3,4,3,66,61.0,satisfied,74,2,3189,660,3
3,1,1,1,3,3,3,3,3,4,3,4,4,3,53,48.0,neutral or dissatisfied,28,2,271,403,4
4,1,5,5,4,4,4,4,2,4,2,3,4,4,19,6.0,satisfied,27,5,770,346,6
2,2,2,5,5,2,5,5,2,5,5,1,4,5,4,3.0,neutral or dissatisfied,130,4,1716,511,3
2,2,2,4,1,2,1,1,3,2,4,4,3,1,0,0.0,neutral or dissatisfied,120,3,1511,147,3
3,3,3,4,4,3,4,4,3,5,4,2,4,4,0,0.0,neutral or dissatisfied,88,4,172,148,1
4,3,3,3,4,4,4,4,2,3,3,1,3,4,0,0.0,neutral or dissatisfied,131,4,274,711,2
5,5,5,5,1,1,5,5,5,5,5,5,5,5,0,11.0,satisfied,87,2,2307,489,4
2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0.0,satisfied,16,2,1159,640,3
2,4,4,4,3,3,4,2,2,2,2,4,2,1,0,0.0,neutral or dissatisfied,97,2,1707,551,5
