flight_key,Flight Distance,Origin_Airport,Destination_Airport,Origin_Airport_Name,Origin_Latitude,Origin_Longitude,Dest_Airport_Name,Dest_Latitude,Dest_Longitude
41,296,MSP,LAX,Minneapolis–Saint Paul Intl,44.883,-93.21,Los Angeles Intl,33.9416,-118.4085
42,2882,BOS,JFK,Boston Logan Intl,42.3656,-71.0096,John F. Kennedy Intl,40.6413,-73.7781
43,529,CLT,LAS,Charlotte Douglas Intl,35.214,-80.9431,Las Vegas McCarran Intl,36.084,-115.1537
44,1522,CLT,JFK,Charlotte Douglas Intl,35.214,-80.9431,John F. Kennedy Intl,40.6413,-73.7781
45,612,MSP,LAX,Minneapolis–Saint Paul Intl,44.883,-93.21,Los Angeles Intl,33.9416,-118.4085
46,1454,LAS,ATL,Las Vegas McCarran Intl,36.084,-115.1537,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
47,731,LAS,BOS,Las Vegas McCarran Intl,36.084,-115.1537,Boston Logan Intl,42.3656,-71.0096
48,2076,MSP,DEN,Minneapolis–Saint Paul Intl,44.883,-93.21,Denver Intl,39.8561,-104.6737
49,309,LAS,DEN,Las Vegas McCarran Intl,36.084,-115.1537,Denver Intl,39.8561,-104.6737
50,775,ORD,LAX,Chicago O’Hare Intl,41.9742,-87.9073,Los Angeles Intl,33.9416,-118.4085
51,861,CLT,JFK,Charlotte Douglas Intl,35.214,-80.9431,John F. Kennedy Intl,40.6413,-73.7781
52,3334,SFO,MIA,San Francisco Intl,37.6213,-122.379,Miami Intl,25.7959,-80.287
53,2496,DFW,LAX,Dallas/Fort Worth Intl,32.8998,-97.0403,Los Angeles Intl,33.9416,-118.4085
54,602,MIA,BOS,Miami Intl,25.7959,-80.287,Boston Logan Intl,42.3656,-71.0096
55,446,ORD,LAX,Chicago O’Hare Intl,41.9742,-87.9073,Los Angeles Intl,33.9416,-118.4085
56,216,DEN,ORD,Denver Intl,39.8561,-104.6737,Chicago O’Hare Intl,41.9742,-87.9073
57,3475,ORD,IAH,Chicago O’Hare Intl,41.9742,-87.9073,George Bush Intercontinental,29.9902,-95.3368
58,646,SFO,MIA,San Francisco Intl,37.6213,-122.379,Miami Intl,25.7959,-80.287
59,2501,DEN,JFK,Denver Intl,39.8561,-104.6737,John F. Kennedy Intl,40.6413,-73.7781
60,2227,MIA,CLT,Miami Intl,25.7959,-80.287,Charlotte Douglas Intl,35.214,-80.9431
61,1426,SFO,SEA,San Francisco Intl,37.6213,-122.379,Seattle-Tacoma Intl,47.4502,-122.3088
62,190,LAX,MSP,Los Angeles Intl,33.9416,-118.4085,Minneapolis–Saint Paul Intl,44.883,-93.21
63,1532,DFW,SEA,Dallas/Fort Worth Intl,32.8998,-97.0403,Seattle-Tacoma Intl,47.4502,-122.3088
64,157,MIA,JFK,Miami Intl,25.7959,-80.287,John F. Kennedy Intl,40.6413,-73.7781
65,1506,CLT,LAX,Charlotte Douglas Intl,35.214,-80.9431,Los Angeles Intl,33.9416,-118.4085
66,205,LAS,PHX,Las Vegas McCarran Intl,36.084,-115.1537,Phoenix Sky Harbor Intl,33.4342,-112.0116
67,895,LAX,BOS,Los Angeles Intl,33.9416,-118.4085,Boston Logan Intl,42.3656,-71.0096
68,516,BOS,ORD,Boston Logan Intl,42.3656,-71.0096,Chicago O’Hare Intl,41.9742,-87.9073
69,909,MIA,ORD,Miami Intl,25.7959,-80.287,Chicago O’Hare Intl,41.9742,-87.9073
70,1435,BOS,MSP,Boston Logan Intl,42.3656,-71.0096,Minneapolis–Saint Paul Intl,44.883,-93.21
71,1190,DEN,ATL,Denver Intl,39.8561,-104.6737,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
72,1259,LAX,SFO,Los Angeles Intl,33.9416,-118.4085,San Francisco Intl,37.6213,-122.379
73,1670,DFW,DEN,Dallas/Fort Worth Intl,32.8998,-97.0403,Denver Intl,39.8561,-104.6737
74,3960,CLT,DFW,Charlotte Douglas Intl,35.214,-80.9431,Dallas/Fort Worth Intl,32.8998,-97.0403
75,817,MSP,BOS,Minneapolis–Saint Paul Intl,44.883,-93.21,Boston Logan Intl,42.3656,-71.0096
76,406,CLT,MSP,Charlotte Douglas Intl,35.214,-80.9431,Minneapolis–Saint Paul Intl,44.883,-93.21
77,404,SFO,DFW,San Francisco Intl,37.6213,-122.379,Dallas/Fort Worth Intl,32.8998,-97.0403
78,500,CLT,LAS,Charlotte Douglas Intl,35.214,-80.9431,Las Vegas McCarran Intl,36.084,-115.1537
79,689,IAH,DFW,George Bush Intercontinental,29.9902,-95.3368,Dallas/Fort Worth Intl,32.8998,-97.0403
80,3100,SEA,JFK,Seattle-Tacoma Intl,47.4502,-122.3088,John F. Kennedy Intl,40.6413,-73.7781
81,525,MSP,PHX,Minneapolis–Saint Paul Intl,44.883,-93.21,Phoenix Sky Harbor Intl,33.4342,-112.0116
82,931,ORD,SEA,Chicago O’Hare Intl,41.9742,-87.9073,Seattle-Tacoma Intl,47.4502,-122.3088
83,304,LAS,SEA,Las Vegas McCarran Intl,36.084,-115.1537,Seattle-Tacoma Intl,47.4502,-122.3088
84,1896,ATL,DEN,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277,Denver Intl,39.8561,-104.6737
85,261,DFW,MSP,Dallas/Fort Worth Intl,32.8998,-97.0403,Minneapolis–Saint Paul Intl,44.883,-93.21
86,347,LAX,JFK,Los Angeles Intl,33.9416,-118.4085,John F. Kennedy Intl,40.6413,-73.7781
87,1042,SEA,DFW,Seattle-Tacoma Intl,47.4502,-122.3088,Dallas/Fort Worth Intl,32.8998,-97.0403
88,1773,DFW,CLT,Dallas/Fort Worth Intl,32.8998,-97.0403,Charlotte Douglas Intl,35.214,-80.9431
89,342,LAX,LAS,Los Angeles Intl,33.9416,-118.4085,Las Vegas McCarran Intl,36.084,-115.1537
90,297,LAS,PHX,Las Vegas McCarran Intl,36.084,-115.1537,Phoenix Sky Harbor Intl,33.4342,-112.0116
91,332,JFK,IAH,John F. Kennedy Intl,40.6413,-73.7781,George Bush Intercontinental,29.9902,-95.3368
92,2388,JFK,MIA,John F. Kennedy Intl,40.6413,-73.7781,Miami Intl,25.7959,-80.287
93,748,BOS,SEA,Boston Logan Intl,42.3656,-71.0096,Seattle-Tacoma Intl,47.4502,-122.3088
94,1080,DFW,BOS,Dallas/Fort Worth Intl,32.8998,-97.0403,Boston Logan Intl,42.3656,-71.0096
95,231,JFK,CLT,John F. Kennedy Intl,40.6413,-73.7781,Charlotte Douglas Intl,35.214,-80.9431
96,551,IAH,BOS,George Bush Intercontinental,29.9902,-95.3368,Boston Logan Intl,42.3656,-71.0096
97,972,MSP,ATL,Minneapolis–Saint Paul Intl,44.883,-93.21,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
98,265,LAX,MSP,Los Angeles Intl,33.9416,-118.4085,Minneapolis–Saint Paul Intl,44.883,-93.21
99,488,BOS,LAX,Boston Logan Intl,42.3656,-71.0096,Los Angeles Intl,33.9416,-118.4085
100,1144,CLT,MIA,Charlotte Douglas Intl,35.214,-80.9431,Miami Intl,25.7959,-80.287
101,2332,LAX,SEA,Los Angeles Intl,33.9416,-118.4085,Seattle-Tacoma Intl,47.4502,-122.3088
102,3024,BOS,LAS,Boston Logan Intl,42.3656,-71.0096,Las Vegas McCarran Intl,36.084,-115.1537
103,1750,LAS,ORD,Las Vegas McCarran Intl,36.084,-115.1537,Chicago O’Hare Intl,41.9742,-87.9073
104,483,DFW,SEA,Dallas/Fort Worth Intl,32.8998,-97.0403,Seattle-Tacoma Intl,47.4502,-122.3088
105,2128,LAS,CLT,Las Vegas McCarran Intl,36.084,-115.1537,Charlotte Douglas Intl,35.214,-80.9431
106,1852,MSP,ATL,Minneapolis–Saint Paul Intl,44.883,-93.21,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
107,372,MSP,BOS,Minneapolis–Saint Paul Intl,44.883,-93.21,Boston Logan Intl,42.3656,-71.0096
108,3705,SEA,DFW,Seattle-Tacoma Intl,47.4502,-122.3088,Dallas/Fort Worth Intl,32.8998,-97.0403
109,416,LAS,ORD,Las Vegas McCarran Intl,36.084,-115.1537,Chicago O’Hare Intl,41.9742,-87.9073
110,337,SFO,JFK,San Francisco Intl,37.6213,-122.379,John F. Kennedy Intl,40.6413,-73.7781
111,335,CLT,SFO,Charlotte Douglas Intl,35.214,-80.9431,San Francisco Intl,37.6213,-122.379
112,1400,MIA,DFW,Miami Intl,25.7959,-80.287,Dallas/Fort Worth Intl,32.8998,-97.0403
113,2521,LAS,SFO,Las Vegas McCarran Intl,36.084,-115.1537,San Francisco Intl,37.6213,-122.379
114,374,SEA,MIA,Seattle-Tacoma Intl,47.4502,-122.3088,Miami Intl,25.7959,-80.287
115,575,DEN,PHX,Denver Intl,39.8561,-104.6737,Phoenix Sky Harbor Intl,33.4342,-112.0116
116,618,IAH,LAX,George Bush Intercontinental,29.9902,-95.3368,Los Angeles Intl,33.9416,-118.4085
117,1304,LAX,PHX,Los Angeles Intl,33.9416,-118.4085,Phoenix Sky Harbor Intl,33.4342,-112.0116
118,351,MSP,ORD,Minneapolis–Saint Paul Intl,44.883,-93.21,Chicago O’Hare Intl,41.9742,-87.9073
119,549,DEN,CLT,Denver Intl,39.8561,-104.6737,Charlotte Douglas Intl,35.214,-80.9431
120,3510,SEA,ORD,Seattle-Tacoma Intl,47.4502,-122.3088,Chicago O’Hare Intl,41.9742,-87.9073
121,1620,BOS,PHX,Boston Logan Intl,42.3656,-71.0096,Phoenix Sky Harbor Intl,33.4342,-112.0116
122,326,MIA,SEA,Miami Intl,25.7959,-80.287,Seattle-Tacoma Intl,47.4502,-122.3088
123,588,CLT,LAS,Charlotte Douglas Intl,35.214,-80.9431,Las Vegas McCarran Intl,36.084,-115.1537
124,1020,CLT,BOS,Charlotte Douglas Intl,35.214,-80.9431,Boston Logan Intl,42.3656,-71.0096
125,2903,CLT,SEA,Charlotte Douglas Intl,35.214,-80.9431,Seattle-Tacoma Intl,47.4502,-122.3088
126,2659,IAH,SEA,George Bush Intercontinental,29.9902,-95.3368,Seattle-Tacoma Intl,47.4502,-122.3088
127,3037,MIA,CLT,Miami Intl,25.7959,-80.287,Charlotte Douglas Intl,35.214,-80.9431
128,2475,IAH,CLT,George Bush Intercontinental,29.9902,-95.3368,Charlotte Douglas Intl,35.214,-80.9431
129,978,MSP,MIA,Minneapolis–Saint Paul Intl,44.883,-93.21,Miami Intl,25.7959,-80.287
130,2568,IAH,DFW,George Bush Intercontinental,29.9902,-95.3368,Dallas/Fort Worth Intl,32.8998,-97.0403
131,371,ATL,DEN,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277,Denver Intl,39.8561,-104.6737
132,791,MIA,DEN,Miami Intl,25.7959,-80.287,Denver Intl,39.8561,-104.6737
133,480,SFO,SEA,San Francisco Intl,37.6213,-122.379,Seattle-Tacoma Intl,47.4502,-122.3088
134,1786,MIA,SFO,Miami Intl,25.7959,-80.287,San Francisco Intl,37.6213,-122.379
135,1849,SEA,MIA,Seattle-Tacoma Intl,47.4502,-122.3088,Miami Intl,25.7959,-80.287
136,3634,ATL,MSP,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277,Minneapolis–Saint Paul Intl,44.883,-93.21
137,844,CLT,MSP,Charlotte Douglas Intl,35.214,-80.9431,Minneapolis–Saint Paul Intl,44.883,-93.21
138,3094,SEA,LAS,Seattle-Tacoma Intl,47.4502,-122.3088,Las Vegas McCarran Intl,36.084,-115.1537
139,3465,SEA,ORD,Seattle-Tacoma Intl,47.4502,-122.3088,Chicago O’Hare Intl,41.9742,-87.9073
140,1035,MSP,LAX,Minneapolis–Saint Paul Intl,44.883,-93.21,Los Angeles Intl,33.9416,-118.4085
141,237,PHX,BOS,Phoenix Sky Harbor Intl,33.4342,-112.0116,Boston Logan Intl,42.3656,-71.0096
142,3175,ORD,CLT,Chicago O’Hare Intl,41.9742,-87.9073,Charlotte Douglas Intl,35.214,-80.9431
143,760,ATL,DFW,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277,Dallas/Fort Worth Intl,32.8998,-97.0403
144,1071,SEA,JFK,Seattle-Tacoma Intl,47.4502,-122.3088,John F. Kennedy Intl,40.6413,-73.7781
145,728,ORD,CLT,Chicago O’Hare Intl,41.9742,-87.9073,Charlotte Douglas Intl,35.214,-80.9431
146,2585,ORD,LAX,Chicago O’Hare Intl,41.9742,-87.9073,Los Angeles Intl,33.9416,-118.4085
147,707,ATL,SFO,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277,San Francisco Intl,37.6213,-122.379
148,1790,PHX,ORD,Phoenix Sky Harbor Intl,33.4342,-112.0116,Chicago O’Hare Intl,41.9742,-87.9073
149,680,DEN,IAH,Denver Intl,39.8561,-104.6737,George Bush Intercontinental,29.9902,-95.3368
150,888,BOS,ORD,Boston Logan Intl,42.3656,-71.0096,Chicago O’Hare Intl,41.9742,-87.9073
151,1660,SFO,PHX,San Francisco Intl,37.6213,-122.379,Phoenix Sky Harbor Intl,33.4342,-112.0116
152,578,BOS,LAX,Boston Logan Intl,42.3656,-71.0096,Los Angeles Intl,33.9416,-118.4085
153,606,MIA,PHX,Miami Intl,25.7959,-80.287,Phoenix Sky Harbor Intl,33.4342,-112.0116
154,1487,CLT,SEA,Charlotte Douglas Intl,35.214,-80.9431,Seattle-Tacoma Intl,47.4502,-122.3088
155,317,SFO,JFK,San Francisco Intl,37.6213,-122.379,John F. Kennedy Intl,40.6413,-73.7781
156,3747,MIA,ATL,Miami Intl,25.7959,-80.287,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
157,2748,SEA,CLT,Seattle-Tacoma Intl,47.4502,-122.3088,Charlotte Douglas Intl,35.214,-80.9431
158,1503,CLT,ATL,Charlotte Douglas Intl,35.214,-80.9431,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
159,1717,LAX,SFO,Los Angeles Intl,33.9416,-118.4085,San Francisco Intl,37.6213,-122.379
160,1117,ATL,SEA,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277,Seattle-Tacoma Intl,47.4502,-122.3088
161,1372,SFO,DEN,San Francisco Intl,37.6213,-122.379,Denver Intl,39.8561,-104.6737
162,2768,SFO,CLT,San Francisco Intl,37.6213,-122.379,Charlotte Douglas Intl,35.214,-80.9431
163,370,LAS,PHX,Las Vegas McCarran Intl,36.084,-115.1537,Phoenix Sky Harbor Intl,33.4342,-112.0116
164,1546,SEA,DEN,Seattle-Tacoma Intl,47.4502,-122.3088,Denver Intl,39.8561,-104.6737
165,1023,DEN,DFW,Denver Intl,39.8561,-104.6737,Dallas/Fort Worth Intl,32.8998,-97.0403
166,3636,ORD,LAS,Chicago O’Hare Intl,41.9742,-87.9073,Las Vegas McCarran Intl,36.084,-115.1537
167,1325,CLT,JFK,Charlotte Douglas Intl,35.214,-80.9431,John F. Kennedy Intl,40.6413,-73.7781
168,2556,SEA,LAS,Seattle-Tacoma Intl,47.4502,-122.3088,Las Vegas McCarran Intl,36.084,-115.1537
169,1052,JFK,IAH,John F. Kennedy Intl,40.6413,-73.7781,George Bush Intercontinental,29.9902,-95.3368
170,773,PHX,ORD,Phoenix Sky Harbor Intl,33.4342,-112.0116,Chicago O’Hare Intl,41.9742,-87.9073
171,447,ORD,MIA,Chicago O’Hare Intl,41.9742,-87.9073,Miami Intl,25.7959,-80.287
172,462,ATL,CLT,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277,Charlotte Douglas Intl,35.214,-80.9431
173,361,ORD,PHX,Chicago O’Hare Intl,41.9742,-87.9073,Phoenix Sky Harbor Intl,33.4342,-112.0116
174,125,DEN,LAS,Denver Intl,39.8561,-104.6737,Las Vegas McCarran Intl,36.084,-115.1537
175,271,MSP,SFO,Minneapolis–Saint Paul Intl,44.883,-93.21,San Francisco Intl,37.6213,-122.379
176,173,LAS,ATL,Las Vegas McCarran Intl,36.084,-115.1537,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
177,1950,ORD,MSP,Chicago O’Hare Intl,41.9742,-87.9073,Minneapolis–Saint Paul Intl,44.883,-93.21
178,153,ATL,IAH,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277,George Bush Intercontinental,29.9902,-95.3368
179,3732,DEN,SFO,Denver Intl,39.8561,-104.6737,San Francisco Intl,37.6213,-122.379
180,3854,BOS,DEN,Boston Logan Intl,42.3656,-71.0096,Denver Intl,39.8561,-104.6737
181,977,SFO,DEN,San Francisco Intl,37.6213,-122.379,Denver Intl,39.8561,-104.6737
182,3073,MSP,LAS,Minneapolis–Saint Paul Intl,44.883,-93.21,Las Vegas McCarran Intl,36.084,-115.1537
183,1379,LAS,IAH,Las Vegas McCarran Intl,36.084,-115.1537,George Bush Intercontinental,29.9902,-95.3368
184,631,SFO,LAX,San Francisco Intl,37.6213,-122.379,Los Angeles Intl,33.9416,-118.4085
185,666,PHX,DFW,Phoenix Sky Harbor Intl,33.4342,-112.0116,Dallas/Fort Worth Intl,32.8998,-97.0403
186,2820,MIA,CLT,Miami Intl,25.7959,-80.287,Charlotte Douglas Intl,35.214,-80.9431
187,577,MSP,JFK,Minneapolis–Saint Paul Intl,44.883,-93.21,John F. Kennedy Intl,40.6413,-73.7781
188,2808,MSP,BOS,Minneapolis–Saint Paul Intl,44.883,-93.21,Boston Logan Intl,42.3656,-71.0096
189,2172,BOS,MSP,Boston Logan Intl,42.3656,-71.0096,Minneapolis–Saint Paul Intl,44.883,-93.21
190,109,BOS,PHX,Boston Logan Intl,42.3656,-71.0096,Phoenix Sky Harbor Intl,33.4342,-112.0116
191,1749,CLT,SFO,Charlotte Douglas Intl,35.214,-80.9431,San Francisco Intl,37.6213,-122.379
192,3753,IAH,PHX,George Bush Intercontinental,29.9902,-95.3368,Phoenix Sky Harbor Intl,33.4342,-112.0116
193,368,ORD,DEN,Chicago O’Hare Intl,41.9742,-87.9073,Denver Intl,39.8561,-104.6737
194,1448,MSP,MIA,Minneapolis–Saint Paul Intl,44.883,-93.21,Miami Intl,25.7959,-80.287
195,1127,SFO,ORD,San Francisco Intl,37.6213,-122.379,Chicago O’Hare Intl,41.9742,-87.9073
196,545,ATL,DFW,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277,Dallas/Fort Worth Intl,32.8998,-97.0403
197,3238,DFW,PHX,Dallas/Fort Worth Intl,32.8998,-97.0403,Phoenix Sky Harbor Intl,33.4342,-112.0116
198,2466,IAH,MIA,George Bush Intercontinental,29.9902,-95.3368,Miami Intl,25.7959,-80.287
199,2715,DFW,CLT,Dallas/Fort Worth Intl,32.8998,-97.0403,Charlotte Douglas Intl,35.214,-80.9431
200,1608,LAS,LAX,Las Vegas McCarran Intl,36.084,-115.1537,Los Angeles Intl,33.9416,-118.4085
201,3004,DEN,BOS,Denver Intl,39.8561,-104.6737,Boston Logan Intl,42.3656,-71.0096
202,980,SFO,LAS,San Francisco Intl,37.6213,-122.379,Las Vegas McCarran Intl,36.084,-115.1537
203,1462,SFO,LAS,San Francisco Intl,37.6213,-122.379,Las Vegas McCarran Intl,36.084,-115.1537
204,1521,IAH,DEN,George Bush Intercontinental,29.9902,-95.3368,Denver Intl,39.8561,-104.6737
205,862,MSP,ORD,Minneapolis–Saint Paul Intl,44.883,-93.21,Chicago O’Hare Intl,41.9742,-87.9073
206,1833,PHX,IAH,Phoenix Sky Harbor Intl,33.4342,-112.0116,George Bush Intercontinental,29.9902,-95.3368
207,2398,IAH,CLT,George Bush Intercontinental,29.9902,-95.3368,Charlotte Douglas Intl,35.214,-80.9431
208,1722,DFW,IAH,Dallas/Fort Worth Intl,32.8998,-97.0403,George Bush Intercontinental,29.9902,-95.3368
209,163,IAH,MIA,George Bush Intercontinental,29.9902,-95.3368,Miami Intl,25.7959,-80.287
210,395,SFO,DFW,San Francisco Intl,37.6213,-122.379,Dallas/Fort Worth Intl,32.8998,-97.0403
211,3095,PHX,JFK,Phoenix Sky Harbor Intl,33.4342,-112.0116,John F. Kennedy Intl,40.6413,-73.7781
212,738,ORD,LAX,Chicago O’Hare Intl,41.9742,-87.9073,Los Angeles Intl,33.9416,-118.4085
213,226,JFK,ATL,John F. Kennedy Intl,40.6413,-73.7781,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
214,1943,CLT,ORD,Charlotte Douglas Intl,35.214,-80.9431,Chicago O’Hare Intl,41.9742,-87.9073
215,2371,LAX,CLT,Los Angeles Intl,33.9416,-118.4085,Charlotte Douglas Intl,35.214,-80.9431
216,493,BOS,CLT,Boston Logan Intl,42.3656,-71.0096,Charlotte Douglas Intl,35.214,-80.9431
217,925,IAH,MIA,George Bush Intercontinental,29.9902,-95.3368,Miami Intl,25.7959,-80.287
218,405,LAS,PHX,Las Vegas McCarran Intl,36.084,-115.1537,Phoenix Sky Harbor Intl,33.4342,-112.0116
219,1055,MIA,LAX,Miami Intl,25.7959,-80.287,Los Angeles Intl,33.9416,-118.4085
220,305,DEN,MSP,Denver Intl,39.8561,-104.6737,Minneapolis–Saint Paul Intl,44.883,-93.21
221,589,JFK,CLT,John F. Kennedy Intl,40.6413,-73.7781,Charlotte Douglas Intl,35.214,-80.9431
222,1587,CLT,JFK,Charlotte Douglas Intl,35.214,-80.9431,John F. Kennedy Intl,40.6413,-73.7781
223,3090,CLT,MIA,Charlotte Douglas Intl,35.214,-80.9431,Miami Intl,25.7959,-80.287
224,804,CLT,DEN,Charlotte Douglas Intl,35.214,-80.9431,Denver Intl,39.8561,-104.6737
225,67,CLT,SEA,Charlotte Douglas Intl,35.214,-80.9431,Seattle-Tacoma Intl,47.4502,-122.3088
226,2809,DFW,LAX,Dallas/Fort Worth Intl,32.8998,-97.0403,Los Angeles Intl,33.9416,-118.4085
227,552,LAS,JFK,Las Vegas McCarran Intl,36.084,-115.1537,John F. Kennedy Intl,40.6413,-73.7781
228,356,LAS,ORD,Las Vegas McCarran Intl,36.084,-115.1537,Chicago O’Hare Intl,41.9742,-87.9073
229,119,PHX,CLT,Phoenix Sky Harbor Intl,33.4342,-112.0116,Charlotte Douglas Intl,35.214,-80.9431
230,1545,BOS,CLT,Boston Logan Intl,42.3656,-71.0096,Charlotte Douglas Intl,35.214,-80.9431
231,1801,SFO,LAS,San Francisco Intl,37.6213,-122.379,Las Vegas McCarran Intl,36.084,-115.1537
232,1658,CLT,BOS,Charlotte Douglas Intl,35.214,-80.9431,Boston Logan Intl,42.3656,-71.0096
233,114,MIA,DEN,Miami Intl,25.7959,-80.287,Denver Intl,39.8561,-104.6737
234,128,SFO,CLT,San Francisco Intl,37.6213,-122.379,Charlotte Douglas Intl,35.214,-80.9431
235,813,LAS,SEA,Las Vegas McCarran Intl,36.084,-115.1537,Seattle-Tacoma Intl,47.4502,-122.3088
236,1508,ATL,BOS,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277,Boston Logan Intl,42.3656,-71.0096
